         1848256 function calls (1762275 primitive calls) in 64.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8184    0.001    0.000    0.001    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\lib\type_check.py:206(_is_type_dispatcher)
        7    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       14    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        1    0.001    0.001    0.001    0.001 {method 'acquire' of '_multiprocessing.SemLock' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _winapi.TerminateProcess}
        4    0.001    0.000    0.001    0.000 {built-in method _winapi.CreatePipe}
       77    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       30    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       34    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
       18    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     2046    0.000    0.000    0.000    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\numpy\core\multiarray.py:152(concatenate)
       11    0.000    0.000    0.001    0.000 {method 'dump' of '_pickle.Pickler' objects}
     1217    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        4    0.000    0.000    0.097    0.024 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\popen_spawn_win32.py:44(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        7    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.022    0.022 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:654(terminate)
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
     10/3    0.000    0.000    0.021    0.007 <frozen importlib._bootstrap>:1167(_find_and_load)
      200    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        4    0.000    0.000    0.000    0.000 <frozen os>:713(copy)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\queue.py:28(Queue)
       14    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.001    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:671(_help_stuff_finish)
       16    0.000    0.000    0.020    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\popen_spawn_win32.py:102(wait)
        3    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
      200    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
        4    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.022    0.022 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:680(_terminate_pool)
        4    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\spawn.py:154(get_preparation_data)
       11    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\reduction.py:38(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
        1    0.000    0.000    0.107    0.107 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:183(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       16    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\connection.py:955(reduce_pipe_connection)
      278    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     10/3    0.000    0.000    0.020    0.007 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
